mAh,V
31.01756607,4.221421841
83.55752492,4.176149054
136.0974838,4.137182247
188.6374426,4.102419426
241.1774015,4.067236207
293.7173603,4.032473386
346.2573192,3.998551362
398.7972781,3.967572128
451.3372369,3.936172496
503.8771958,3.905613662
556.4171546,3.875054827
608.9571135,3.844916391
661.4970723,3.814777954
714.0370312,3.785480315
766.57699,3.760386663
819.1169489,3.737395003
871.6569077,3.717346134
924.1968666,3.699399257
976.7368254,3.683554374
1029.276784,3.668550288
1081.816743,3.656909391
1134.356702,3.64652969
1186.896661,3.636149989
1239.43662,3.624929491
1291.976579,3.614129391
1344.516537,3.603329291
1397.056496,3.593790387
1449.596455,3.582990288
1502.136414,3.570928992
1554.676373,3.557186102
1607.216332,3.540500422
1659.756291,3.518349559
1712.296249,3.491153913
1764.836208,3.469423449
1817.376167,3.450635776
1869.916126,3.425121725
1922.456085,3.374383756
1958.278784,3.276834993
2006.042383,2.549768904
1974.391805,3.154481963
1989.756722,3.025594438
2002.560819,2.738022878
